institution,campus,country,student_count
All Asia Aviation Academy,Not Specified,Phillipines,1
Asia Pacific University of Technology and Innovation,Not Specified,Malaysia,1
Beijing Foreign Studies University,Not Specified,China (Mainland),1
Beijing Normal-Hong Kong Baptist University,Not Specified,China (Mainland),1
Bina Nusantara University,Alam Sutera,Indonesia,8
Bina Nusantara University,Kemanggisan,Indonesia,1
Institut Pertanian Bogor,Not Specified,Indonesia,1
Institut Teknologi Bandung,Cirebon,Indonesia,1
Institut Teknologi Bandung,Ganesha,Indonesia,1
Institut Teknologi Bandung,Jatinangor,Indonesia,1
Jiangnan University,Lihu,China (Mainland),1
Kyoto Minsai Japanese Language School,Nishikyogoku Saiin,Japan,1
National Taiwan University,Not Specified,Taiwan,1
Northwestern Polytechnical University,Not Specified,China (Mainland),2
Raffles Jakarta,Not Specified,Indonesia,1
Ritsumeikan Asia Pacific University,Beppu,Japan,1
Shanghai Jiao Tong University,Not Specified,China (Mainland),1
Shih Chien University,Taipei,Taiwan,1
Sichuan University,Not Specified,China (Mainland),1
Southeast University,Not Specified,China (Mainland),1
Southwestern University of Finance and Economics,Not Specified,China (Mainland),1
Swiss German University,Not Specified,Indonesia,1
Tamkang University,New Taipei,Taiwan,1
The Chinese University of Hong Kong,Shenzhen,China (Mainland),1
Trisakti University,Trisakti School of Management,Indonesia,1
Universitas Bunda Mulia,Alam Sutra,Indonesia,1
Universitas Indonesia,Depok,Indonesia,1
Universitas Multimedia Nusantara,Gading Serpong,Indonesia,2
Universitas Padjadjaran,Jatinangor,Indonesia,1
Universitas Prasetiya Mulya,BSD,Indonesia,3
Xi'an Jiao Tong Liverpool University,Suzhou,China (Mainland),1
Xiamen University,Not Specified,China (Mainland),1
Zhejiang University,Hangzhou,China (Mainland),1
