alias,canonical
Accounting, Accounting
Agricultural and Biosystem Engineering, Agricultural and Bio-system Engineering
Ai, Artificial Intelligence
Animation, Animation
Artificial Intelligence, Artificial Intelligence
Aviation Technique, Aviation Technique
Biological Sciences, Biological Sciences
Biotechnology, Biotechnology
Biotechnology and Food Nutrition, Biotechnology and Food Nutrition
Business, Business
Business Major - Finance N Accounting Focus, Finance and Accounting
Business and MBA, Business
Business and Management, Management
Chemical Engineering, Chemical Engineering
Chinese Language, Chinese Business
Computer Science and Engineering, Computer Science and Engineering
English Language, English Language
Fashion Design, Fashion Design
Film, Film
Finance, Finance
Financial Mathematics, Financial Mathematics
Food Science and Technology, Food Science and Technology
Global Business Marketing, Global Business Marketing
Hospitality/Pengelolaan Perhotelan, Hospitality Management
Humanities & Social Sciences, Humanities & Social Sciences
IT - Cybersecurity, Cybersecurity
Industrial Design, Industrial Design
International Business, International Business
International Business Management, International Business Management
Management, Management
Manajemen, Management
Mechanical Engineering, Mechanical Engineering
Psychology, Psychology
