alias,canonical
BSD, Tangerang Selatan
Bandung, Bandung
Beijing, Beijing
"Beppu, Oita Prefecture", Beppu
Bogor, Bogor
Chengdu, Chengdu
Cirebon, Cirebon
Depok, Depok
"Grogol, Jakarta Barat", Jakarta
Hangzhou, Hangzhou
"Iba, Zambales", Iba
Jakarta, Jakarta
Jatinangor, Jatinangor
Kuala Lumpur, Kuala Lumpur
"Kyoto, Japan", Kyoto
Nanjing, Nanjing
New Taipei, New Taipei
Shanghai, Shanghai
Shenzhen, Shenzhen
South Tangerang, Tangerang Selatan
Suzhou, Suzhou
Taipei, Taipei
Tangerang, Tangerang
Wu Xi, Wuxi
Xi An, Xi'an
Xi'An, Xi'an
Xiamen, Xiamen
Zhuhai, Zhuhai
