institution,campus,country,latitude,longitude
All Asia Aviation Academy,Not Specified,Philippines,15.3236005,119.9715941
Asia Pacific University of Technology and Innovation,Not Specified,Malaysia,3.041578,101.7089806
Beijing Foreign Studies University,Not Specified,China,39.9541483,116.3074139
Beijing Normal-Hong Kong Baptist University,Not Specified,China,22.3525994,113.5159695
Bina Nusantara University,Alam Sutera,Indonesia,-6.2230417,106.6485145
Bina Nusantara University,Kemanggisan,Indonesia,-6.1938887,106.7880559
Institut Pertanian Bogor,Not Specified,Indonesia,-6.555272,106.7250165
Institut Teknologi Bandung,Cirebon,Indonesia,-6.6656956,108.4147221
Institut Teknologi Bandung,Ganesha,Indonesia,-6.3545128,107.1987467
Institut Teknologi Bandung,Jatinangor,Indonesia,-6.928984,107.7688891
Jiangnan University,Lihu,China,31.4856764,120.2740727
Kyoto Minsai Japanese Language School,Nishikyogoku Saiin,Japan,34.9990861,135.716418
National Taiwan University,Not Specified,Taiwan,25.0168175,121.5384571
Northwestern Polytechnical University,Not Specified,China,34.2469224,108.9106235
Raffles Jakarta,Not Specified,Indonesia,-6.1642878,106.832654
Ritsumeikan Asia Pacific University,Beppu,Japan,33.2845752,131.4913063
Shanghai Jiao Tong University,Not Specified,China,31.2008911,121.4283949
Shih Chien University,Taipei,Taiwan,25.0844761,121.5454056
Sichuan University,Not Specified,China,30.5601863,103.9973029
Southeast University,Not Specified,China,31.8891787,118.815607
Southwestern University of Finance and Economics,Not Specified,China,30.6728492,104.0180084
Swiss German University,Not Specified,Indonesia,-6.3017661,106.6429675
Tamkang University,New Taipei,Taiwan,25.1749822,121.4503498
The Chinese University of Hong Kong,Shenzhen,China,22.6910685,114.207366
Trisakti University,Trisakti School of Management,Indonesia,-6.1671124,106.7968231
Universitas Bunda Mulia,Alam Sutra,Indonesia,-6.1306238,106.8181846
Universitas Indonesia,Depok,Indonesia,-6.3603157,106.8271856
Universitas Multimedia Nusantara,Gading Serpong,Indonesia,-6.2577416,106.6181588
Universitas Padjadjaran,Jatinangor,Indonesia,-6.9242143,107.7749071
Universitas Prasetiya Mulya,BSD,Indonesia,-6.3004952,106.6393921
Xi'an Jiaotong-Liverpool University,Suzhou,China,31.2757194,120.7354789
Xiamen University,Not Specified,China,24.4399419,118.0930178
Zhejiang University,Hangzhou,China,30.2310563,120.0364832
