alias,canonical
All Aviation Academy,All Asia Aviation Academy
Asian Pacific University,Asia Pacific University of Technology and Innovation
Beijing Foreign Studies University,Beijing Foreign Studies University
Beijing Normal Hong Kong Baptist University,Beijing Normal-Hong Kong Baptist University
Bina Nusantara University,Bina Nusantara University
Binus,Bina Nusantara University
Binus University,Bina Nusantara University
Institut Pertanian Bogor,Institut Pertanian Bogor
Institut Teknologi Bandung,Institut Teknologi Bandung
Itb,Institut Teknologi Bandung
Jiangnan University,Jiangnan University
Kyoto Minsai Language School,Kyoto Minsai Japanese Language School
National Taipei University of Technology,National Taipei University of Technology
National Taiwan University,National Taiwan University
Northwestern Polytechnical University,Northwestern Polytechnical University
Prasetiya Mulya University,Universitas Prasetiya Mulya
Prasetiya Mulya University - Prasmul,Universitas Prasetiya Mulya
Prasetya Mulya,Universitas Prasetiya Mulya
Raffles Jakarta,Raffles Jakarta
Ritsumeikan APU University,Ritsumeikan Asia Pacific University
Shanghai Jiao Tong University,Shanghai Jiao Tong University
Shih Chien University,Shih Chien University
Sichuan University,Sichuan University
Southeast University,Southeast University
Southwestern University of Finance and Economics,Southwestern University of Finance and Economics
Swiss German University,Swiss German University
"Tamkang University, Taiwan",Tamkang University
The Chinese University of Hong Kong,The Chinese University of Hong Kong
Trisakti University,Trisakti University
Universitas Bunda Mulia,Universitas Bunda Mulia
Universitas Indonesia,Universitas Indonesia
Universitas Multimedia Nusantara,Universitas Multimedia Nusantara
Universitas Padjadjaran,Universitas Padjadjaran
Unpad,Universitas Padjadjaran
Xiamen University,Xiamen University
Xian Jiao Tong Liverpool University,Xi'an Jiaotong-Liverpool University
Zhejiang University,Zhejiang University
